area,quartos,banheiros,vagas,idade,bairro,preco,anuncio
77.0,2,1,0,12,Sao Mateus,605000.0,"Apartamento de 77m2 no bairro Sao Mateus, com 2 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 12 anos. Passou por reforma completa no ano passado. Sem armarios, pronto para o proprietario montar do seu jeito. As janelas dao para o predio vizinho. Rua tranquila e residencial, sem movimento."
67.0,4,3,1,10,Santa Luzia,309000.0,"Apartamento de 67m2 no bairro Santa Luzia, com 4 quartos e 3 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 10 anos. Passou por reforma completa no ano passado. Sem armarios, pronto para o proprietario montar do seu jeito. As janelas dao para o predio vizinho. Fica de frente para uma avenida de trafego intenso."
117.0,2,2,1,15,Granbery,1148000.0,"Apartamento de 117m2 no bairro Granbery, com 2 quartos e 2 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 15 anos. Recem reformado, tudo novo. Entregue sem moveis. As janelas dao para o predio vizinho. Rua tranquila e residencial, sem movimento."
135.0,1,1,1,16,Centro,671000.0,"Apartamento de 135m2 no bairro Centro, com 1 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 16 anos. Cozinha e banheiros reformados ha poucos meses. Entregue sem moveis. Andar alto, sem predios na frente, muito sol pela manha. Localizacao silenciosa, otima para quem trabalha em casa."
91.0,4,2,0,8,Centro,449000.0,"Apartamento de 91m2 no bairro Centro, com 4 quartos e 2 banheiros. Sem vaga de garagem. Construcao de aproximadamente 8 anos. Passou por reforma completa no ano passado. Entregue sem moveis. A vista da sala e um espetaculo ao entardecer. Fica de frente para uma avenida de trafego intenso."
66.0,1,2,0,7,Granbery,585000.0,"Apartamento de 66m2 no bairro Granbery, com 1 quartos e 2 banheiros. Sem vaga de garagem. Construcao de aproximadamente 7 anos. Recem reformado, tudo novo. Entrega com moveis planejados e eletrodomesticos. As janelas dao para o predio vizinho. Localizacao silenciosa, otima para quem trabalha em casa."
66.0,1,1,2,10,Granbery,635000.0,"Apartamento de 66m2 no bairro Granbery, com 1 quartos e 1 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 10 anos. Cozinha e banheiros reformados ha poucos meses. Entrega com moveis planejados e eletrodomesticos. As janelas dao para o predio vizinho. Localizacao silenciosa, otima para quem trabalha em casa."
118.0,3,2,1,21,Sao Mateus,984000.0,"Apartamento de 118m2 no bairro Sao Mateus, com 3 quartos e 2 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 21 anos. Conservado, porem sem reformas recentes. Entrega com moveis planejados e eletrodomesticos. Andar alto, sem predios na frente, muito sol pela manha. Rua tranquila e residencial, sem movimento."
121.0,1,1,1,15,Cascatinha,1056000.0,"Apartamento de 121m2 no bairro Cascatinha, com 1 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 15 anos. Passou por reforma completa no ano passado. Sem armarios, pronto para o proprietario montar do seu jeito. Vista livre e desimpedida para a serra. Proximo a uma casa de eventos, regiao movimentada a noite."
114.0,4,1,1,17,Santa Luzia,487000.0,"Apartamento de 114m2 no bairro Santa Luzia, com 4 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 17 anos. Imovel no estado original, precisa de uma atualizacao. Vai mobiliado, com armarios planejados em todos os comodos. As janelas dao para o predio vizinho. Localizacao silenciosa, otima para quem trabalha em casa."
72.0,2,3,3,32,Sao Mateus,500000.0,"Casa de 72m2 no bairro Sao Mateus, com 2 quartos e 3 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 32 anos. Passou por reforma completa no ano passado. Entregue sem moveis. As janelas dao para o predio vizinho. Fica de frente para uma avenida de trafego intenso."
103.0,1,3,2,10,Sao Mateus,982000.0,"Apartamento de 103m2 no bairro Sao Mateus, com 1 quartos e 3 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 10 anos. Cozinha e banheiros reformados ha poucos meses. Entregue sem moveis. Andar alto, sem predios na frente, muito sol pela manha. Rua tranquila e residencial, sem movimento."
99.0,4,1,1,40,Cascatinha,772000.0,"Apartamento de 99m2 no bairro Cascatinha, com 4 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 40 anos. Imovel no estado original, precisa de uma atualizacao. Sem armarios, pronto para o proprietario montar do seu jeito. Andar alto, sem predios na frente, muito sol pela manha. Proximo a uma casa de eventos, regiao movimentada a noite."
103.0,3,3,0,33,Santa Luzia,420000.0,"Apartamento de 103m2 no bairro Santa Luzia, com 3 quartos e 3 banheiros. Sem vaga de garagem. Construcao de aproximadamente 33 anos. Recem reformado, tudo novo. Entrega com moveis planejados e eletrodomesticos. As janelas dao para o predio vizinho. Rua tranquila e residencial, sem movimento."
126.0,2,2,3,7,Sao Mateus,988000.0,"Casa de 126m2 no bairro Sao Mateus, com 2 quartos e 2 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 7 anos. Passou por reforma completa no ano passado. Entregue sem moveis. A vista da sala e um espetaculo ao entardecer. Fica sobre um comercio bem movimentado."
103.0,3,3,3,14,Cascatinha,1055000.0,"Casa de 103m2 no bairro Cascatinha, com 3 quartos e 3 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 14 anos. Conservado, porem sem reformas recentes. Sem armarios, pronto para o proprietario montar do seu jeito. Vista para os fundos do quarteirao. Localizacao silenciosa, otima para quem trabalha em casa."
119.0,3,3,0,8,Sao Mateus,934000.0,"Apartamento de 119m2 no bairro Sao Mateus, com 3 quartos e 3 banheiros. Sem vaga de garagem. Construcao de aproximadamente 8 anos. Recem reformado, tudo novo. Entrega com moveis planejados e eletrodomesticos. Vista livre e desimpedida para a serra. Fica de frente para uma avenida de trafego intenso."
97.0,1,2,3,12,Bom Pastor,635000.0,"Casa de 97m2 no bairro Bom Pastor, com 1 quartos e 2 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 12 anos. Passou por reforma completa no ano passado. Entregue sem moveis. Vista para os fundos do quarteirao. Proximo a uma casa de eventos, regiao movimentada a noite."
105.0,4,2,2,16,Centro,492000.0,"Apartamento de 105m2 no bairro Centro, com 4 quartos e 2 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 16 anos. Imovel no estado original, precisa de uma atualizacao. Vai mobiliado, com armarios planejados em todos os comodos. Andar alto, sem predios na frente, muito sol pela manha. Proximo a uma casa de eventos, regiao movimentada a noite."
117.0,2,2,0,5,Sao Mateus,983000.0,"Apartamento de 117m2 no bairro Sao Mateus, com 2 quartos e 2 banheiros. Sem vaga de garagem. Construcao de aproximadamente 5 anos. Cozinha e banheiros reformados ha poucos meses. Sem armarios, pronto para o proprietario montar do seu jeito. Andar alto, sem predios na frente, muito sol pela manha. Fica sobre um comercio bem movimentado."
44.0,3,3,3,0,Sao Mateus,386000.0,"Casa de 44m2 no bairro Sao Mateus, com 3 quartos e 3 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 0 anos. Imovel no estado original, precisa de uma atualizacao. Sem armarios, pronto para o proprietario montar do seu jeito. As janelas dao para o predio vizinho. Fica de frente para uma avenida de trafego intenso."
84.0,4,1,0,19,Granbery,722000.0,"Apartamento de 84m2 no bairro Granbery, com 4 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 19 anos. Cozinha e banheiros reformados ha poucos meses. Vai mobiliado, com armarios planejados em todos os comodos. Vista para os fundos do quarteirao. Localizacao silenciosa, otima para quem trabalha em casa."
79.0,3,1,0,31,Granbery,613000.0,"Apartamento de 79m2 no bairro Granbery, com 3 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 31 anos. Conservado, porem sem reformas recentes. Vai mobiliado, com armarios planejados em todos os comodos. Vista para os fundos do quarteirao. Rua tranquila e residencial, sem movimento."
73.0,3,1,0,13,Santa Luzia,277000.0,"Apartamento de 73m2 no bairro Santa Luzia, com 3 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 13 anos. Imovel no estado original, precisa de uma atualizacao. Entrega com moveis planejados e eletrodomesticos. A vista da sala e um espetaculo ao entardecer. Proximo a uma casa de eventos, regiao movimentada a noite."
85.0,2,1,1,38,Centro,333000.0,"Apartamento de 85m2 no bairro Centro, com 2 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 38 anos. Imovel no estado original, precisa de uma atualizacao. Vai mobiliado, com armarios planejados em todos os comodos. Vista para os fundos do quarteirao. Rua tranquila e residencial, sem movimento."
147.0,1,1,2,16,Bom Pastor,930000.0,"Apartamento de 147m2 no bairro Bom Pastor, com 1 quartos e 1 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 16 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Entregue sem moveis. Vista para os fundos do quarteirao. Rua tranquila e residencial, sem movimento."
65.0,2,1,1,40,Cascatinha,525000.0,"Apartamento de 65m2 no bairro Cascatinha, com 2 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 40 anos. Passou por reforma completa no ano passado. Vai mobiliado, com armarios planejados em todos os comodos. As janelas dao para o predio vizinho. Proximo a uma casa de eventos, regiao movimentada a noite."
129.0,4,3,0,10,Granbery,1187000.0,"Apartamento de 129m2 no bairro Granbery, com 4 quartos e 3 banheiros. Sem vaga de garagem. Construcao de aproximadamente 10 anos. Imovel no estado original, precisa de uma atualizacao. Entrega com moveis planejados e eletrodomesticos. Vista livre e desimpedida para a serra. Rua tranquila e residencial, sem movimento."
36.0,3,1,0,24,Cascatinha,273000.0,"Apartamento de 36m2 no bairro Cascatinha, com 3 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 24 anos. Recem reformado, tudo novo. Sem armarios, pronto para o proprietario montar do seu jeito. Vista para os fundos do quarteirao. Proximo a uma casa de eventos, regiao movimentada a noite."
83.0,2,3,3,34,Granbery,584000.0,"Casa de 83m2 no bairro Granbery, com 2 quartos e 3 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 34 anos. Conservado, porem sem reformas recentes. Entregue sem moveis. Vista para os fundos do quarteirao. Fica sobre um comercio bem movimentado."
101.0,4,1,3,2,Bom Pastor,703000.0,"Casa de 101m2 no bairro Bom Pastor, com 4 quartos e 1 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 2 anos. Imovel no estado original, precisa de uma atualizacao. Sem armarios, pronto para o proprietario montar do seu jeito. Vista para os fundos do quarteirao. Localizacao silenciosa, otima para quem trabalha em casa."
116.0,4,3,3,41,Sao Mateus,1010000.0,"Casa de 116m2 no bairro Sao Mateus, com 4 quartos e 3 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 41 anos. Recem reformado, tudo novo. Entregue sem moveis. Vista livre e desimpedida para a serra. Localizacao silenciosa, otima para quem trabalha em casa."
120.0,4,1,0,16,Bom Pastor,808000.0,"Apartamento de 120m2 no bairro Bom Pastor, com 4 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 16 anos. Imovel no estado original, precisa de uma atualizacao. Entrega com moveis planejados e eletrodomesticos. Andar alto, sem predios na frente, muito sol pela manha. Rua tranquila e residencial, sem movimento."
123.0,2,2,3,22,Sao Mateus,1189000.0,"Casa de 123m2 no bairro Sao Mateus, com 2 quartos e 2 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 22 anos. Cozinha e banheiros reformados ha poucos meses. Entregue sem moveis. Andar alto, sem predios na frente, muito sol pela manha. Rua tranquila e residencial, sem movimento."
83.0,3,1,2,28,Cascatinha,687000.0,"Apartamento de 83m2 no bairro Cascatinha, com 3 quartos e 1 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 28 anos. Imovel no estado original, precisa de uma atualizacao. Vai mobiliado, com armarios planejados em todos os comodos. As janelas dao para o predio vizinho. Rua tranquila e residencial, sem movimento."
79.0,3,2,2,28,Sao Mateus,508000.0,"Apartamento de 79m2 no bairro Sao Mateus, com 3 quartos e 2 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 28 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Sem armarios, pronto para o proprietario montar do seu jeito. Vista para os fundos do quarteirao. Proximo a uma casa de eventos, regiao movimentada a noite."
125.0,2,2,0,1,Bom Pastor,931000.0,"Apartamento de 125m2 no bairro Bom Pastor, com 2 quartos e 2 banheiros. Sem vaga de garagem. Construcao de aproximadamente 1 anos. Recem reformado, tudo novo. Entregue sem moveis. Andar alto, sem predios na frente, muito sol pela manha. Rua tranquila e residencial, sem movimento."
88.0,2,2,3,39,Sao Mateus,592000.0,"Casa de 88m2 no bairro Sao Mateus, com 2 quartos e 2 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 39 anos. Conservado, porem sem reformas recentes. Sem armarios, pronto para o proprietario montar do seu jeito. Vista para os fundos do quarteirao. Fica de frente para uma avenida de trafego intenso."
50.0,1,2,1,28,Santa Luzia,137000.0,"Apartamento de 50m2 no bairro Santa Luzia, com 1 quartos e 2 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 28 anos. Imovel no estado original, precisa de uma atualizacao. Entregue sem moveis. Vista para os fundos do quarteirao. Fica sobre um comercio bem movimentado."
55.0,2,2,0,44,Santa Luzia,141000.0,"Apartamento de 55m2 no bairro Santa Luzia, com 2 quartos e 2 banheiros. Sem vaga de garagem. Construcao de aproximadamente 44 anos. Passou por reforma completa no ano passado. Sem armarios, pronto para o proprietario montar do seu jeito. Andar alto, sem predios na frente, muito sol pela manha. Fica sobre um comercio bem movimentado."
63.0,3,3,0,21,Bom Pastor,427000.0,"Apartamento de 63m2 no bairro Bom Pastor, com 3 quartos e 3 banheiros. Sem vaga de garagem. Construcao de aproximadamente 21 anos. Imovel no estado original, precisa de uma atualizacao. Entrega com moveis planejados e eletrodomesticos. Vista livre e desimpedida para a serra. Localizacao silenciosa, otima para quem trabalha em casa."
112.0,4,2,1,27,Granbery,968000.0,"Apartamento de 112m2 no bairro Granbery, com 4 quartos e 2 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 27 anos. Recem reformado, tudo novo. Sem armarios, pronto para o proprietario montar do seu jeito. As janelas dao para o predio vizinho. Localizacao silenciosa, otima para quem trabalha em casa."
100.0,4,2,0,19,Centro,354000.0,"Apartamento de 100m2 no bairro Centro, com 4 quartos e 2 banheiros. Sem vaga de garagem. Construcao de aproximadamente 19 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Entregue sem moveis. Vista para os fundos do quarteirao. Fica de frente para uma avenida de trafego intenso."
119.0,1,1,1,40,Granbery,986000.0,"Apartamento de 119m2 no bairro Granbery, com 1 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 40 anos. Recem reformado, tudo novo. Sem armarios, pronto para o proprietario montar do seu jeito. Vista livre e desimpedida para a serra. Localizacao silenciosa, otima para quem trabalha em casa."
80.0,3,2,1,37,Centro,282000.0,"Apartamento de 80m2 no bairro Centro, com 3 quartos e 2 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 37 anos. Imovel no estado original, precisa de uma atualizacao. Sem armarios, pronto para o proprietario montar do seu jeito. As janelas dao para o predio vizinho. Rua tranquila e residencial, sem movimento."
101.0,1,1,3,40,Santa Luzia,370000.0,"Casa de 101m2 no bairro Santa Luzia, com 1 quartos e 1 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 40 anos. Conservado, porem sem reformas recentes. Entrega com moveis planejados e eletrodomesticos. Vista para os fundos do quarteirao. Rua tranquila e residencial, sem movimento."
117.0,3,1,0,22,Cascatinha,897000.0,"Apartamento de 117m2 no bairro Cascatinha, com 3 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 22 anos. Recem reformado, tudo novo. Sem armarios, pronto para o proprietario montar do seu jeito. Vista para os fundos do quarteirao. Fica de frente para uma avenida de trafego intenso."
84.0,2,3,2,35,Santa Luzia,335000.0,"Apartamento de 84m2 no bairro Santa Luzia, com 2 quartos e 3 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 35 anos. Recem reformado, tudo novo. Entrega com moveis planejados e eletrodomesticos. Vista para os fundos do quarteirao. Localizacao silenciosa, otima para quem trabalha em casa."
111.0,2,1,3,16,Bom Pastor,706000.0,"Casa de 111m2 no bairro Bom Pastor, com 2 quartos e 1 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 16 anos. Conservado, porem sem reformas recentes. Vai mobiliado, com armarios planejados em todos os comodos. Vista para os fundos do quarteirao. Fica sobre um comercio bem movimentado."
72.0,3,2,3,20,Granbery,586000.0,"Casa de 72m2 no bairro Granbery, com 3 quartos e 2 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 20 anos. Conservado, porem sem reformas recentes. Vai mobiliado, com armarios planejados em todos os comodos. As janelas dao para o predio vizinho. Rua tranquila e residencial, sem movimento."
